,Year,Brand,Model,Driven_Kms,Fuel_Type,Transmission_Type,Features,City,Price(L),EMI(month)
0,2018,Maruti,Dzire VXI AMT,43091,Petrol,Automatic,Safety Specs.,Hyderabad,6.16,"12,043"
1,2019,Hyundai,NEW SANTRO SPORTZ AMT,25159,Petrol,Automatic,Spl. Reg. No.,Hyderabad,5.35,"10,459"
2,2020,Ford,Ecosport TITANIUM + 1.5L PETROL AT,10885,Petrol,Automatic,Top Model,Hyderabad,10.08,"19,186"
3,2016,Maruti,Celerio VXI AMT,53167,Petrol,Automatic,Low Run Cost,Hyderabad,4.13,"8,074"
4,2015,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,42198,Petrol,Manual,Top Model,Hyderabad,4.51,"8,817"
5,2020,Hyundai,GRAND I10 NIOS SPORTZ 1.0 TURBO GDI DUAL TONE,10622,Petrol,Manual,Regularly Serviced,Hyderabad,7.17,"14,017"
6,2021,KIA,SONET GTX PLUS 1.0 DCT DUAL TONE,38579,Petrol,Automatic,Sunroof,Hyderabad,12.48,"23,755"
7,2018,Maruti,Dzire ZXI,50715,Petrol,Manual,Top Model,Hyderabad,6.66,"13,020"
8,2021,Maruti,Vitara Brezza ZXI,6669,Petrol,Manual,Top Model,Hyderabad,8.91,"16,959"
9,2019,Renault,Kwid RXT 1.0,37055,Petrol,Manual,Top Model,Hyderabad,3.39,"6,628"
10,2021,Maruti,New Wagon-R LXI 1.0,42753,Petrol,Manual,Regularly Serviced,Hyderabad,4.92,"9,619"
11,2013,Renault,Duster 85 PS RXL PLUS DIESEL,92988,Diesel,Manual,Safety Specs.,Hyderabad,3.79,"12,588"
12,2016,Maruti,Swift VXI,95377,Petrol,Manual,Essntl. Specs,Hyderabad,4.86,"9,501"
13,2019,Datsun,Go Plus T,62906,Petrol,Manual,100% Tyre Life,Hyderabad,3.97,"7,761"
14,2016,Maruti,Alto K10 VXI,35123,Petrol,Manual,Top Model,Hyderabad,3.09,"6,041"
15,2017,Hyundai,i20 Active 1.2 SX,95737,Petrol,Manual,Top Model,Hyderabad,6.31,"12,336"
16,2020,Hyundai,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,70045,Petrol,Manual,Alloy Wheels,Hyderabad,6.59,"12,884"
17,2013,Toyota,Etios G,82484,Petrol,Manual,100% Tyre Life,Hyderabad,4.04,"10,639"
18,2019,Mahindra,KUV 100 NXT K8 P 6 STR DUAL TONE,44303,Petrol,Manual,Top Model,Hyderabad,6.30,"12,317"
19,2015,Hyundai,Xcent S 1.2,111396,Petrol,Manual,Essntl. Specs,Hyderabad,4.25,"9,454"
20,2012,Honda,Brio S MT,87778,Petrol,Manual,Spl. Reg. No.,Hyderabad,2.90,"9,632"
21,2022,Maruti,New Wagon-R ZXI 1.2,9202,Petrol,Manual,Regularly Serviced,Hyderabad,6.45,"12,610"
22,2018,Renault,Kwid RXT 1.0 (O),28660,Petrol,Manual,Top Model,Hyderabad,3.21,"6,276"
23,2018,Honda,City 1.5L I-DTEC V,75410,Diesel,Manual,Alloy Wheels,Hyderabad,7.91,"15,464"
24,2021,Maruti,Swift VXI,50545,Petrol,Manual,Safety Specs.,Hyderabad,6.34,"12,395"
25,2017,Hyundai,Creta SX PLUS AT 1.6 PETROL,81845,Petrol,Automatic,Spl. Reg. No.,Hyderabad,10.36,"19,719"
26,2014,Hyundai,Verna FLUIDIC 1.6 CRDI SX,78993,Diesel,Manual,Top Model,Hyderabad,5.20,"13,694"
27,2021,Tata,PUNCH ACCOMPLISHED AMT,28773,Petrol,Automatic,Regularly Serviced,Hyderabad,7.08,"13,842"
28,2011,Hyundai,i10 MAGNA 1.2,20736,Petrol,Manual,Regularly Serviced,Hyderabad,2.79,"13,133"
29,2018,Mahindra,Scorpio S5,94809,Diesel,Manual,Safety Specs.,Hyderabad,8.82,"16,788"
30,2013,Maruti,Ertiga ZDI,91696,Diesel,Manual,Top Model,Hyderabad,6.05,"20,095"
31,2021,KIA,SELTOS HTK PLUS 1.5,31348,Petrol,Manual,Alloy Wheels,Hyderabad,11.59,"22,060"
32,2012,Renault,Duster 85 PS RXL DIESEL,68328,Diesel,Manual,goodClearance,Hyderabad,3.56,"16,758"
33,2017,Tata,Tiago XZA PETROL,62204,Petrol,Automatic,Top Model,Hyderabad,4.74,"9,267"
34,2017,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,99588,Diesel,Automatic,Spl. Reg. No.,Hyderabad,9.30,"17,702"
35,2016,Hyundai,Creta SX PLUS 1.6 PETROL,76317,Petrol,Manual,Top Model,Hyderabad,7.87,"15,386"
36,2019,Tata,Tiago XZ PETROL,21478,Petrol,Manual,Alloy Wheels,Hyderabad,5.25,"10,264"
37,2014,Maruti,Celerio VXI AMT,64820,Petrol,Automatic,Spl. Reg. No.,Hyderabad,3.47,"7,719"
38,2017,Renault,Kwid RXT 1.0,76863,Petrol,Manual,Top Model,Hyderabad,3.01,"5,885"
39,2020,Maruti,New Wagon-R LXI CNG (O) 1.0,66284,CNG,Manual,Regularly Serviced,Hyderabad,5.38,"10,518"
40,2016,Maruti,Wagon R 1.0 VXI,56162,Petrol,Manual,Top Model,Hyderabad,3.21,"6,276"
41,2016,Maruti,Baleno SIGMA PETROL 1.2,47741,Petrol,Manual,Safety Specs.,Hyderabad,4.79,"9,357"
42,2018,Maruti,Swift ZDI AMT,121368,Diesel,Automatic,Top Model,Hyderabad,5.96,"13,258"
43,2013,Hyundai,Eon ERA +,24996,Petrol,Manual,Spl. Reg. No.,Hyderabad,2.31,"6,083"
44,2018,Nissan,Micra XL (O) CVT,103755,Petrol,Automatic,Spl. Reg. No.,Hyderabad,4.30,"9,565"
45,2017,Honda,WR-V 1.5L I-DTEC VX MT,93129,Diesel,Manual,Top Model,Hyderabad,7.18,"14,037"
46,2012,Maruti,Swift Dzire VXI,100645,Petrol,Manual,Regularly Serviced,Hyderabad,3.75,"12,455"
47,2012,Hyundai,i10 MAGNA 1.2,57918,Petrol,Manual,100% Tyre Life,Hyderabad,2.72,"9,034"
48,2017,Hyundai,Creta SX 1.6 DIESEL,99288,Diesel,Manual,Top Model,Hyderabad,8.75,"16,653"
49,2019,Honda,Civic 1.8L I-VTEC ZX CVT,87136,Petrol,Automatic,,Hyderabad,16.08,"30,607"
50,2016,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,72324,Petrol,Manual,City Driven,Hyderabad,4.11,"8,035"
51,2023,Mahindra,Thar LX P 2WD AT HT,4232,Petrol,Automatic,Alloy Wheels,Hyderabad,15.45,"29,408"
52,2013,Hyundai,i20 MAGNA (O) 1.2,92904,Petrol,Manual,City Driven,Hyderabad,3.54,"9,322"
53,2017,Hyundai,Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,72376,Petrol,Automatic,Alloy Wheels,Hyderabad,5.77,"11,280"
54,2017,Honda,City 1.5L I-VTEC V MT,57852,Petrol,Manual,Spl. Reg. No.,Hyderabad,6.89,"13,470"
55,2018,Maruti,Baleno ZETA PETROL 1.2,94450,Petrol,Manual,Alloy Wheels,Hyderabad,6.07,"11,867"
56,2016,Maruti,Baleno ALPHA PETROL 1.2,61719,Petrol,Manual,Top Model,Hyderabad,5.99,"11,711"
57,2022,Maruti,XL6 ALPHA PLUS MT DUAL TONE,30516,Petrol,Manual,Top Model,Hyderabad,12.32,"23,450"
58,2013,Maruti,Alto K10 VXI,31286,Petrol,Manual,Top Model,Hyderabad,2.08,"5,477"
59,2019,Tata,Tiago XZ PLUS PETROL,39581,Petrol,Manual,Alloy Wheels,Hyderabad,5.60,"10,948"
60,2017,Tata,Tiago XZA PETROL,31535,Petrol,Automatic,Top Model,Hyderabad,4.69,"9,169"
61,2017,Hyundai,Eon D-LITE+,87396,Petrol,Manual,Low Run Cost,Hyderabad,2.36,"4,614"
62,2011,Honda,City 1.5L I-VTEC S MT,64884,Petrol,Manual,City Driven,Hyderabad,3.64,"17,135"
63,2017,Hyundai,Elite i20 SPORTZ 1.2,65339,Petrol,Manual,Safety Specs.,Hyderabad,5.38,"10,518"
64,2021,Nissan,MAGNITE XV DUAL TONE,40090,Petrol,Manual,Spl. Reg. No.,Hyderabad,7.51,"14,682"
65,2020,Skoda,Rapid ACTIVE 1.0 TSI,66236,Petrol,Manual,Regularly Serviced,Hyderabad,7.10,"13,881"
66,2020,Jeep,Compass LIMITED PLUS DIESEL,44321,Diesel,Manual,Sunroof,Hyderabad,16.26,"30,949"
67,2019,Hyundai,Elite i20 ASTA (O) CVT,91916,Petrol,Automatic,Top Model,Hyderabad,6.77,"13,235"
68,2016,Honda,Jazz 1.2L I-VTEC V AT,85680,Petrol,Automatic,Alloy Wheels,Hyderabad,5.52,"10,792"
69,2013,Hyundai,i10 ASTA 1.2 AT SUNROOF,50536,Petrol,Automatic,Top Model,Hyderabad,3.88,"10,218"
70,2013,Honda,City 1.5L I-VTEC V MT,70653,Petrol,Manual,Alloy Wheels,Hyderabad,4.63,"12,193"
71,2019,Maruti,New Wagon-R VXI 1.0,64229,Petrol,Manual,Top Model,Hyderabad,4.61,"9,013"
72,2017,Hyundai,Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,23270,Petrol,Automatic,Alloy Wheels,Hyderabad,5.92,"11,580"
73,2017,Volkswagen,Polo HIGHLINE1.2L,50037,Petrol,Manual,Spl. Reg. No.,Hyderabad,6.54,"12,786"
74,2017,Hyundai,Verna 1.6 VTVT SX,85902,Petrol,Manual,Alloy Wheels,Hyderabad,6.68,"13,060"
75,2013,Maruti,Swift VDI,73784,Diesel,Manual,City Driven,Hyderabad,4.33,"14,382"
76,2016,Hyundai,Elite i20 SPORTZ 1.2,74062,Petrol,Manual,Regularly Serviced,Hyderabad,5.67,"11,085"
77,2017,Toyota,Innova Crysta 2.8 ZX AT 7 STR,90942,Diesel,Automatic,Top Model,Hyderabad,19.40,"36,926"
78,2012,Maruti,Zen Estilo VXI,100105,Petrol,Manual,Top Model,Hyderabad,1.91,"6,344"
79,2019,Maruti,Ciaz DELTA DIESEL 1.5,83951,Diesel,Manual,Alloy Wheels,Hyderabad,7.07,"13,818"
80,2017,Mahindra,XUV500 W10 1.99,71597,Diesel,Manual,Sunroof,Hyderabad,12.18,"23,184"
81,2017,Honda,Jazz 1.2L I-VTEC V,91115,Petrol,Manual,Alloy Wheels,Hyderabad,4.71,"9,208"
82,2012,Maruti,Alto 800 LXI,65731,Petrol,Manual,100% Tyre Life,Hyderabad,1.98,"6,576"
83,2017,Renault,Kwid RXT 1.0 AMT,38185,Petrol,Automatic,100% Tyre Life,Hyderabad,3.42,"6,686"
84,2012,Maruti,Wagon R 1.0 LXI,72470,Petrol,Manual,Low Run Cost,Hyderabad,2.98,"9,898"
85,2018,Ford,Ecosport TITANIUM + 1.5L PETROL AT,38288,Petrol,Automatic,Top Model,Hyderabad,7.79,"15,230"
86,2021,Hyundai,VENUE S 1.0 TURBO IMT,52414,Petrol,Manual,Regularly Serviced,Hyderabad,8.39,"15,970"
87,2017,Maruti,Alto K10 VXI,54595,Petrol,Manual,Top Model,Hyderabad,3.09,"6,041"
88,2013,Honda,City 1.5L I-VTEC V MT,83446,Petrol,Manual,Alloy Wheels,Hyderabad,4.57,"12,035"
89,2019,Hyundai,Verna 1.6 CRDI SX + AT,67733,Diesel,Automatic,Top Model,Hyderabad,9.76,"18,577"
90,2020,Tata,Harrier XZA 2.0L,61344,Diesel,Automatic,Top Model,Hyderabad,16.01,"30,474"
91,2018,Toyota,Innova Crysta 2.4 ZX 7 STR,93765,Diesel,Manual,Spl. Reg. No.,Hyderabad,20.66,"39,324"
92,2012,Maruti,Alto LXI,69943,Petrol,Manual,Low Run Cost,Hyderabad,1.81,"6,012"
93,2020,Hyundai,Creta SX (O) 1.4 TURBO DCT,63900,Petrol,Automatic,Spl. Reg. No.,Hyderabad,15.87,"30,207"
94,2022,Maruti,Swift VXI,24076,Petrol,Manual,Regularly Serviced,Hyderabad,7.03,"13,744"
95,2017,Toyota,Innova Crysta 2.4 GX AT 7 STR,53056,Diesel,Automatic,Alloy Wheels,Hyderabad,19.25,"36,641"
96,2021,Maruti,Swift ZXI AMT,14575,Petrol,Automatic,Alloy Wheels,Hyderabad,7.46,"14,584"
97,2020,Volkswagen,Polo TRENDLINE 1.0L,54323,Petrol,Manual,Safety Specs.,Hyderabad,5.73,"11,202"
98,2015,Maruti,Swift VXI,94507,Petrol,Manual,100% Tyre Life,Hyderabad,4.27,"8,348"
99,2011,Maruti,Alto K10 VXI,88373,Petrol,Manual,Top Model,Hyderabad,1.78,"8,379"
100,2013,Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,92482,Petrol,Manual,Spl. Reg. No.,Hyderabad,4.49,"11,824"
101,2017,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,28008,Petrol,Manual,Regularly Serviced,Hyderabad,4.94,"9,658"
102,2018,Hyundai,NEW SANTRO SPORTZ MT,104192,Petrol,Manual,Essntl. Specs,Hyderabad,4.36,"9,699"
103,2017,Maruti,Baleno ZETA PETROL 1.2,47605,Petrol,Manual,Alloy Wheels,Hyderabad,5.84,"11,417"
104,2018,Toyota,YARIS J CVT,92585,Petrol,Automatic,Safety Specs.,Hyderabad,6.86,"13,411"
105,2013,Maruti,Alto K10 VXI,92887,Petrol,Manual,Top Model,Hyderabad,2.08,"5,477"
106,2016,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,38606,Petrol,Manual,Regularly Serviced,Hyderabad,4.33,"8,465"
107,2019,Mahindra,XUV500 W9 AT,86802,Diesel,Automatic,Top Model,Hyderabad,14.12,"26,876"
108,2015,Hyundai,Grand i10 ASTA AT 1.2 KAPPA VTVT,79787,Petrol,Automatic,Top Model,Hyderabad,4.00,"7,820"
109,2016,Maruti,Wagon R 1.0 VXI OPT,92096,Petrol,Manual,Safety Specs.,Hyderabad,3.67,"7,175"
110,2018,Maruti,Celerio ZXI AMT (O),40238,Petrol,Automatic,Top Model,Hyderabad,4.64,"9,071"
111,2011,Maruti,Alto K10 VXI,70425,Petrol,Manual,Top Model,Hyderabad,1.79,"8,426"
112,2018,Maruti,Alto 800 LXI,62496,Petrol,Manual,100% Tyre Life,Hyderabad,2.66,"5,200"
113,2019,Tata,Harrier XZ 2.0L,84497,Diesel,Manual,Alloy Wheels,Hyderabad,13.17,"25,068"
114,2022,Hyundai,NEW I20 ASTA 1.2 MT,39757,Petrol,Manual,Top Model,Hyderabad,7.93,"15,503"
115,2019,Volkswagen,Polo GT TSI AT,94831,Petrol,Automatic,Regularly Serviced,Hyderabad,6.76,"13,216"
116,2021,Tata,TIGOR XE PETROL,47307,Petrol,Manual,Regularly Serviced,Hyderabad,5.86,"11,456"
117,2018,Jeep,Compass LIMITED 2.0 DIESEL,83083,Diesel,Manual,Alloy Wheels,Hyderabad,11.41,"21,718"
118,2016,Maruti,Vitara Brezza ZDI,110464,Diesel,Manual,Top Model,Hyderabad,7.61,"16,928"
119,2013,Maruti,Wagon R Stingray VXI,55041,Petrol,Manual,Alloy Wheels,Hyderabad,3.05,"8,032"
120,2021,Maruti,New Wagon-R VXI (O) 1.0 AMT ,16096,Petrol,Automatic,Top Model,Hyderabad,5.89,"11,515"
121,2019,Maruti,Baleno SIGMA PETROL 1.2,52520,Petrol,Manual,Safety Specs.,Hyderabad,5.50,"10,753"
122,2018,Datsun,Redi Go T (O),90823,Petrol,Manual,Top Model,Hyderabad,2.88,"5,636"
123,2014,Honda,Brio S MT,69254,Petrol,Manual,Spl. Reg. No.,Hyderabad,3.22,"7,163"
124,2017,Jeep,Compass LIMITED 2.0 DIESEL 4X4,97146,Diesel,Manual,Alloy Wheels,Hyderabad,10.48,"19,948"
125,2022,Maruti,BREZZA ZXI SMART HYBRID ,65772,Petrol,Manual,Sunroof,Hyderabad,11.68,"22,232"
126,2022,Renault,Kwid CLIMBER AMT 1.0,9526,Petrol,Automatic,Safety Specs.,Hyderabad,5.57,"10,889"
127,2014,Hyundai,Eon ERA +,73005,Petrol,Manual,Low Run Cost,Hyderabad,2.38,"5,294"
128,2018,Datsun,Redi Go T (O),21877,Petrol,Manual,Top Model,Hyderabad,2.95,"5,763"
129,2019,Honda,Amaze 1.2L I-VTEC S,55897,Petrol,Manual,Safety Specs.,Hyderabad,6.07,"11,867"
130,2011,Maruti,Swift VXI,86193,Petrol,Manual,City Driven,Hyderabad,3.11,"14,640"
131,2021,Tata,ALTROZ XZ DIESEL,91115,Diesel,Manual,Alloy Wheels,Hyderabad,7.49,"14,643"
132,2016,Hyundai,Eon SPORTZ,58248,Petrol,Manual,Top Model,Hyderabad,3.05,"5,963"
133,2010,Hyundai,i10 SPORTZ 1.2,97941,Petrol,Manual,City Driven,Hyderabad,2.29,"20,346"
134,2017,Maruti,Dzire ZXI AMT,35417,Petrol,Automatic,Top Model,Hyderabad,7.07,"13,822"
135,2010,Hyundai,i20 MAGNA (O) 1.2,60697,Petrol,Manual,100% Tyre Life,Hyderabad,3.01,"26,743"
136,2021,Volkswagen,TAIGUN HIGHLINE 1.0 TSI AT,39373,Petrol,Automatic,Spl. Reg. No.,Hyderabad,12.26,"23,336"
137,2015,Hyundai,i10 MAGNA 1.1,67527,Petrol,Manual,City Driven,Hyderabad,3.28,"6,412"
138,2012,Maruti,Swift VXI,39044,Petrol,Manual,100% Tyre Life,Hyderabad,4.02,"13,352"
139,2020,KIA,SELTOS GTX PLUS 1.4 PETROL,61377,Petrol,Manual,Sunroof,Hyderabad,12.84,"24,440"
140,2021,MG,HECTOR SHARP 1.5 PETROL CVT,50037,Petrol,Automatic,Sunroof,Hyderabad,15.79,"30,055"
141,2017,Maruti,Ciaz ZETA DIESEL 1.3,81647,Diesel,Manual,Alloy Wheels,Hyderabad,7.20,"14,076"
142,2014,Maruti,Swift ZDI,117765,Diesel,Manual,Top Model,Hyderabad,4.73,"12,456"
143,2022,Honda,City 1.5L I-VTEC ZX CVT,17754,Petrol,Automatic,Top Model,Hyderabad,14.51,"27,618"
144,2012,Honda,Brio S MT,90437,Petrol,Manual,Spl. Reg. No.,Hyderabad,2.59,"8,603"
145,2021,Maruti,Dzire VXI,34647,Petrol,Manual,Regularly Serviced,Hyderabad,7.47,"14,604"
146,2018,Tata,NEXON XZA PLUS DIESEL,82088,Diesel,Automatic,Top Model,Hyderabad,8.46,"16,103"
147,2022,Tata,ALTROZ XTA,38754,Petrol,Automatic,Regularly Serviced,Hyderabad,7.95,"15,542"
148,2013,Hyundai,i10 SPORTZ 1.2,35977,Petrol,Manual,City Driven,Hyderabad,3.12,"8,216"
149,2020,Maruti,Vitara Brezza VXI,74600,Petrol,Manual,Regularly Serviced,Hyderabad,8.04,"15,303"
150,2022,Maruti,S PRESSO VXI+,59398,Petrol,Manual,Regularly Serviced,Hyderabad,4.65,"9,091"
151,2019,Maruti,Alto K10 VXI,64737,Petrol,Manual,Top Model,Hyderabad,3.37,"6,588"
152,2019,Maruti,Ciaz DELTA AT 1.5 SHVS PETROL,69022,Petrol,Automatic,Alloy Wheels,Hyderabad,7.47,"14,604"
153,2020,KIA,SELTOS GTX PLUS DCT 1.4 PETROL,63787,Petrol,Automatic,Sunroof,Hyderabad,14.82,"28,209"
154,2021,Hyundai,NEW I20 ASTA (O) 1.0 TURBO GDI DCT,56908,Petrol,Automatic,Top Model,Hyderabad,9.61,"18,292"
155,2013,Hyundai,i10 MAGNA 1.1,91344,Petrol,Manual,City Driven,Hyderabad,2.99,"7,879"
156,2018,Volkswagen,Ameo HIGHLINE PLUS 1.5L 16 ALLOY,73974,Diesel,Manual,Top Model,Hyderabad,6.57,"12,844"
157,2016,Maruti,Celerio VXI AMT,91863,Petrol,Automatic,Regularly Serviced,Hyderabad,3.74,"7,312"
158,2018,Hyundai,NEW SANTRO SPORTZ MT,20401,Petrol,Manual,Less Driven,Hyderabad,4.79,"9,365"
159,2022,Maruti,S PRESSO VXI+,38729,Petrol,Manual,Regularly Serviced,Hyderabad,4.56,"8,915"
160,2017,Maruti,Celerio ZXI AMT (O),70666,Petrol,Automatic,Low Run Cost,Hyderabad,4.08,"7,976"
161,2021,Tata,Tiago XT PETROL,50943,Petrol,Manual,Regularly Serviced,Hyderabad,5.13,"10,029"
162,2016,Maruti,Celerio VXI (O),94915,Petrol,Manual,Safety Specs.,Hyderabad,3.61,"7,058"
163,2020,MG,HECTOR PLUS SHARP 1.5 PETROL TURBO DCT 6-STR,53164,Petrol,Automatic,Top Model,Hyderabad,16.26,"30,949"
164,2014,Honda,City 1.5L I-VTEC SV,98877,Petrol,Manual,100% Tyre Life,Hyderabad,5.34,"11,879"
165,2021,Maruti,Celerio ZXI PLUS,76805,Petrol,Manual,Regularly Serviced,Hyderabad,5.47,"10,694"
166,2018,Maruti,Celerio X ZXI AMT,68971,Petrol,Automatic,Regularly Serviced,Hyderabad,4.96,"9,697"
167,2018,Maruti,Celerio ZXI (O),83374,Petrol,Manual,Top Model,Hyderabad,4.38,"8,563"
168,2022,Renault,TRIBER RXZ AMT,37502,Petrol,Automatic,Top Model,Hyderabad,7.60,"14,858"
169,2018,Maruti,Alto K10 VXI,44277,Petrol,Manual,Top Model,Hyderabad,3.30,"6,452"
170,2022,Renault,Kwid CLIMBER MT 1.0,13314,Petrol,Manual,Regularly Serviced,Hyderabad,4.87,"9,521"
171,2018,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,33773,Petrol,Manual,Regularly Serviced,Hyderabad,5.14,"10,049"
172,2022,Renault,Kwid CLIMBER MT 1.0,18233,Petrol,Manual,Regularly Serviced,Hyderabad,4.83,"9,447"
173,2017,Hyundai,Elite i20 ASTA 1.2,61766,Petrol,Manual,Spl. Reg. No.,Hyderabad,6.22,"12,160"
174,2019,Maruti,Alto LXI,62125,Petrol,Manual,Regularly Serviced,Hyderabad,3.19,"6,237"
175,2012,Honda,Brio S MT,90741,Petrol,Manual,100% Tyre Life,Hyderabad,2.68,"8,901"
176,2021,Skoda,Rapid STYLE TSI,17224,Petrol,Manual,Spl. Reg. No.,Hyderabad,10.01,"19,053"
177,2020,Renault,Kwid RXT 0.8,66696,Petrol,Manual,Top Model,Hyderabad,3.84,"7,507"
178,2018,Tata,NEXON XZA PLUS PETROL,32714,Petrol,Automatic,Top Model,Hyderabad,8.39,"15,970"
179,2020,Maruti,Baleno ZETA CVT PETROL 1.2,38392,Petrol,Automatic,Spl. Reg. No.,Hyderabad,7.10,"13,881"
180,2018,Maruti,Alto 800 LXI,37034,Petrol,Manual,Low Run Cost,Hyderabad,3.02,"5,904"
181,2018,Maruti,IGNIS ZETA 1.2 AMT,46318,Petrol,Automatic,Spl. Reg. No.,Hyderabad,5.15,"10,075"
182,2021,Datsun,Redi Go T(O) 1.0,33832,Petrol,Manual,Top Model,Hyderabad,3.75,"7,331"
183,2020,Maruti,Ciaz ALPHA 1.5 SHVS PETROL,54797,Petrol,Manual,Alloy Wheels,Hyderabad,8.26,"15,722"
184,2011,Hyundai,i10 SPORTZ 1.2,74881,Petrol,Manual,City Driven,Hyderabad,2.60,"12,239"
185,2017,Honda,City 1.5L I-VTE V CVT,89700,Petrol,Automatic,Alloy Wheels,Hyderabad,6.97,"13,626"
186,2020,Hyundai,NEW I20 SPORTZ 1.2 MT,60659,Petrol,Manual,100% Tyre Life,Hyderabad,7.42,"14,506"
187,2018,Maruti,Baleno ALPHA CVT PETROL 1.2,82740,Petrol,Automatic,Top Model,Hyderabad,6.48,"12,669"
188,2017,Hyundai,Elite i20 SPORTZ 1.2,61555,Petrol,Manual,100% Tyre Life,Hyderabad,5.95,"11,632"
189,2017,Maruti,Swift VXI,68883,Petrol,Manual,Spl. Reg. No.,Hyderabad,5.41,"10,577"
190,2013,Hyundai,i10 MAGNA 1.1,97681,Petrol,Manual,City Driven,Hyderabad,3.01,"7,926"
191,2022,Maruti,Alto LXI O,11369,Petrol,Manual,Regularly Serviced,Hyderabad,3.95,"7,722"
192,2020,Hyundai,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,43899,Petrol,Manual,Spl. Reg. No.,Hyderabad,6.03,"11,789"
193,2022,Renault,Kwid RXT 1.0,17430,Petrol,Manual,Spl. Reg. No.,Hyderabad,4.23,"8,270"
194,2019,Hyundai,NEW SANTRO SPORTZ MT,69581,Petrol,Manual,100% Tyre Life,Hyderabad,4.20,"8,211"
195,2018,Honda,City 1.5L I-VTEC V MT,58063,Petrol,Manual,Alloy Wheels,Hyderabad,7.68,"15,015"
196,2013,Maruti,Swift VDI,103087,Diesel,Manual,City Driven,Hyderabad,4.45,"14,780"
197,2023,KIA,SONET GTX PLUS 1.0 IMT,2095,Petrol,Manual,Sunroof,Hyderabad,13.26,"25,239"
198,2012,Maruti,Wagon R 1.0 LXI,14357,Petrol,Manual,Regularly Serviced,Hyderabad,2.99,"9,931"
199,2019,Honda,Amaze 1.5L I-DTEC VX CVT,83357,Diesel,Automatic,Top Model,Hyderabad,7.16,"13,998"
200,2011,Maruti,Wagon R 1.0 VXI,83001,Petrol,Manual,Top Model,Hyderabad,2.39,"11,251"
201,2017,Maruti,IGNIS DELTA 1.2 AMT,99815,Petrol,Automatic,Regularly Serviced,Hyderabad,4.30,"8,407"
202,2021,Volkswagen,Vento HIGHLINE 1.0L TSI AT,50711,Petrol,Automatic,Top Model,Hyderabad,9.76,"18,577"
203,2017,Maruti,Alto 800 LXI O,56897,Petrol,Manual,Regularly Serviced,Hyderabad,2.97,"5,806"
204,2019,Honda,WR-V 1.2L I-VTEC VX MT,32139,Petrol,Manual,Top Model,Hyderabad,8.06,"15,341"
205,2015,Maruti,Alto 800 LXI,110547,Petrol,Manual,Regularly Serviced,Hyderabad,2.33,"5,183"
206,2012,Hyundai,i10 MAGNA 1.1,69732,Petrol,Manual,City Driven,Hyderabad,2.81,"9,323"
207,2019,Renault,Duster 110 PS RXS 4X2 AMT DIESEL,66972,Diesel,Automatic,Alloy Wheels,Hyderabad,8.54,"16,255"
208,2015,Maruti,Baleno DELTA PETROL 1.2,61446,Petrol,Manual,100% Tyre Life,Hyderabad,5.28,"10,323"
209,2021,Honda,City 1.5L I-VTE V CVT,59792,Petrol,Automatic,Spl. Reg. No.,Hyderabad,10.54,"20,062"
210,2019,Maruti,IGNIS DELTA 1.2,66900,Petrol,Manual,Regularly Serviced,Hyderabad,4.34,"8,485"
211,2018,Hyundai,Eon ERA +,53052,Petrol,Manual,100% Tyre Life,Hyderabad,3.01,"5,885"
212,2018,Datsun,Redi Go S 1.0 AMT,28115,Petrol,Automatic,Regularly Serviced,Hyderabad,3.24,"6,334"
213,2020,Renault,Kwid CLIMBER 1.0 AMT (O),9676,Petrol,Automatic,Regularly Serviced,Hyderabad,4.89,"9,560"
214,2020,Maruti,Baleno ALPHA CVT PETROL 1.2,51477,Petrol,Automatic,Top Model,Hyderabad,7.60,"14,858"
215,2012,Maruti,Wagon R 1.0 LXI,67345,Petrol,Manual,Low Run Cost,Hyderabad,2.74,"9,101"
216,2017,Maruti,Alto 800 VXI,77702,Petrol,Manual,Top Model,Hyderabad,3.02,"5,904"
217,2016,Maruti,Baleno DELTA PETROL 1.2,97379,Petrol,Manual,100% Tyre Life,Hyderabad,5.34,"10,440"
218,2019,Maruti,Baleno DELTA PETROL 1.2,37753,Petrol,Manual,Safety Specs.,Hyderabad,6.59,"12,878"
219,2021,Honda,Jazz 1.2L I-VTEC ZX,32420,Petrol,Manual,Top Model,Hyderabad,7.83,"15,308"
220,2022,Maruti,BREZZA ZXI + AT SMART HYBRID,24472,Petrol,Automatic,Regularly Serviced,Hyderabad,12.22,"23,260"
221,2016,Hyundai,Elite i20 ASTA 1.2,84401,Petrol,Manual,Top Model,Hyderabad,6.08,"11,887"
222,2016,Maruti,Alto K10 VXI AMT,85016,Petrol,Automatic,Top Model,Hyderabad,3.42,"6,686"
