,Year,Brand,Model,Driven_Kms,Fuel_Type,Transmission_Type,Features,City,Price(L),EMI(month)
3916,2010,Hyundai,i10 SPORTZ (O) 1.2,91968,Petrol,Manual,100% Tyre Life,Gurgaon,1.60,"14,216"
3917,2017,Maruti,IGNIS ZETA 1.2 AMT,58122,Petrol,Automatic,Alloy Wheels,Gurgaon,4.99,"9,756"
3918,2013,Maruti,Swift VXI,77946,Petrol,Manual,100% Tyre Life,Gurgaon,3.42,"9,006"
3919,2017,Maruti,Baleno DELTA PETROL 1.2,65897,Petrol,Manual,Safety Specs.,Gurgaon,4.94,"9,658"
3920,2021,Renault,Kwid RXL 1.0 AMT,27646,Petrol,Automatic,Regularly Serviced,Gurgaon,4.68,"9,149"
3921,2012,Maruti,Ritz VXI,53625,Petrol,Manual,100% Tyre Life,Gurgaon,2.20,"7,307"
3922,2022,Maruti,Alto K10 LXI,1063,Petrol,Manual,Regularly Serviced,Gurgaon,4.61,"9,013"
3923,2021,Maruti,S PRESSO LXI CNG,17832,CNG,Manual,Regularly Serviced,Gurgaon,4.89,"9,560"
3924,2017,Maruti,Baleno ALPHA PETROL 1.2,65806,Petrol,Manual,Top Model,Gurgaon,5.55,"10,850"
3925,2020,Honda,Amaze 1.2L I-VTEC S CVT,9644,Petrol,Automatic,Regularly Serviced,Gurgaon,7.54,"14,741"
3926,2020,Maruti,S PRESSO VXI+,15966,Petrol,Manual,Top Model,Gurgaon,4.43,"8,661"
3927,2017,Maruti,Baleno ALPHA PETROL 1.2,71939,Petrol,Manual,Top Model,Gurgaon,5.59,"10,929"
3928,2015,Maruti,Swift VXI,29778,Petrol,Manual,Regularly Serviced,Gurgaon,4.61,"9,003"
3929,2011,Honda,City 1.5L I-VTEC S MT,73881,Petrol,Manual,Spl. Reg. No.,Gurgaon,2.69,"12,663"
3930,2013,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,54998,Petrol,Manual,100% Tyre Life,Gurgaon,3.27,"8,611"
3931,2019,Hyundai,NEW SANTRO SPORTZ MT,49352,Petrol,Manual,Essntl. Specs,Gurgaon,5.06,"9,892"
3932,2015,Maruti,Baleno DELTA PETROL 1.2,75221,Petrol,Manual,Safety Specs.,Gurgaon,4.68,"9,149"
3933,2017,Maruti,Ciaz ALPHA  AT 1.4  PETROL,85691,Petrol,Automatic,Top Model,Gurgaon,6.72,"13,138"
3934,2017,Maruti,Ciaz ZETA 1.4  MT PETROL,51455,Petrol,Manual,Alloy Wheels,Gurgaon,6.35,"12,414"
3935,2017,Maruti,Celerio VXI AMT,80369,Petrol,Automatic,Regularly Serviced,Gurgaon,4.10,"8,016"
3936,2021,Maruti,S PRESSO VXI CNG,49954,CNG,Manual,Regularly Serviced,Gurgaon,5.02,"9,814"
3937,2020,Maruti,Baleno ZETA PETROL 1.2,37145,Petrol,Manual,Alloy Wheels,Gurgaon,6.99,"13,666"
3938,2021,Maruti,Baleno ZETA CVT PETROL 1.2,34889,Petrol,Automatic,Alloy Wheels,Gurgaon,7.67,"14,995"
3939,2022,Tata,ALTROZ XZA,19443,Petrol,Automatic,Regularly Serviced,Gurgaon,8.54,"16,255"
3940,2018,Maruti,Ciaz ALPHA  AT 1.5 SHVS PETROL,104059,Petrol,Automatic,Regularly Serviced,Gurgaon,7.21,"16,048"
3941,2010,Maruti,Swift Dzire ZXI,96866,Petrol,Manual,Top Model,Gurgaon,1.89,"16,792"
3942,2016,Maruti,Alto 800 LXI,56876,Petrol,Manual,Low Run Cost,Gurgaon,2.72,"5,318"
3943,2018,Renault,Kwid RXT 1.0 AMT (O),75805,Petrol,Automatic,Top Model,Gurgaon,3.35,"6,549"
3944,2017,Honda,City 1.5L I-VTEC VX,99063,Petrol,Manual,Regularly Serviced,Gurgaon,7.27,"14,213"
3945,2014,Maruti,Swift Dzire ZXI,62656,Petrol,Manual,Top Model,Gurgaon,4.25,"9,454"
3946,2016,Honda,Amaze 1.2L I-VTEC SX,99399,Petrol,Manual,Spl. Reg. No.,Gurgaon,3.98,"7,781"
3947,2010,Hyundai,i10 SPORTZ 1.2,104176,Petrol,Manual,City Driven,Gurgaon,1.38,"12,261"
3948,2013,Honda,Amaze 1.2L I-VTEC S,42649,Petrol,Manual,Regularly Serviced,Gurgaon,3.36,"8,848"
3949,2015,Maruti,Swift LXI (O),77779,Petrol,Manual,Regularly Serviced,Gurgaon,3.96,"7,742"
3950,2021,Maruti,Baleno DELTA PETROL 1.2,31567,Petrol,Manual,Regularly Serviced,Gurgaon,6.63,"12,962"
3951,2020,Mahindra,XUV300 W8 1.5 DIESEL AMT,54750,Diesel,Automatic,Alloy Wheels,Gurgaon,9.27,"17,645"
3952,2020,Maruti,Baleno ZETA PETROL 1.2,17034,Petrol,Manual,Alloy Wheels,Gurgaon,7.29,"14,252"
3953,2021,Maruti,Baleno DELTA PETROL 1.2,20381,Petrol,Manual,Regularly Serviced,Gurgaon,7.08,"13,842"
3954,2011,Honda,City 1.5L I-VTEC S MT,79164,Petrol,Manual,Spl. Reg. No.,Gurgaon,2.58,"12,145"
3955,2018,Tata,TIAGO NRG PETROL,35764,Petrol,Manual,Alloy Wheels,Gurgaon,4.67,"9,130"
